"sim" "time" "unit" "par_set"
94 0.1963689 "mins" "params_EndSize0d1Carring_competition_0d1"
95 0.1198056 "mins" "params_EndSize0d1Carring_competition_0d1"
96 0.1035664 "mins" "params_EndSize0d1Carring_competition_0d1"
97 0.1486725 "mins" "params_EndSize0d1Carring_competition_0d1"
98 0.09337337 "mins" "params_EndSize0d1Carring_competition_0d1"
99 0.09962629 "mins" "params_EndSize0d1Carring_competition_0d1"
100 0.1369333 "mins" "params_EndSize0d1Carring_competition_0d1"
1 0.1429305 "mins" "params_EndSize0d1Carring_competition_0d2"
2 0.1032075 "mins" "params_EndSize0d1Carring_competition_0d2"
3 0.1311681 "mins" "params_EndSize0d1Carring_competition_0d2"
4 0.09877416 "mins" "params_EndSize0d1Carring_competition_0d2"
5 0.1238548 "mins" "params_EndSize0d1Carring_competition_0d2"
6 0.1523715 "mins" "params_EndSize0d1Carring_competition_0d2"
7 0.1093733 "mins" "params_EndSize0d1Carring_competition_0d2"
8 0.1178517 "mins" "params_EndSize0d1Carring_competition_0d2"
9 0.1079932 "mins" "params_EndSize0d1Carring_competition_0d2"
10 0.1029312 "mins" "params_EndSize0d1Carring_competition_0d2"
11 0.1727594 "mins" "params_EndSize0d1Carring_competition_0d2"
12 0.1043972 "mins" "params_EndSize0d1Carring_competition_0d2"
13 0.08577523 "mins" "params_EndSize0d1Carring_competition_0d2"
14 0.1303143 "mins" "params_EndSize0d1Carring_competition_0d2"
15 0.1068754 "mins" "params_EndSize0d1Carring_competition_0d2"
16 0.1298348 "mins" "params_EndSize0d1Carring_competition_0d2"
17 0.08812332 "mins" "params_EndSize0d1Carring_competition_0d2"
18 0.1272626 "mins" "params_EndSize0d1Carring_competition_0d2"
19 0.1217837 "mins" "params_EndSize0d1Carring_competition_0d2"
20 0.08686261 "mins" "params_EndSize0d1Carring_competition_0d2"
21 0.102141 "mins" "params_EndSize0d1Carring_competition_0d2"
22 0.08725704 "mins" "params_EndSize0d1Carring_competition_0d2"
23 0.122541 "mins" "params_EndSize0d1Carring_competition_0d2"
24 0.09833419 "mins" "params_EndSize0d1Carring_competition_0d2"
25 0.09409978 "mins" "params_EndSize0d1Carring_competition_0d2"
26 0.08437573 "mins" "params_EndSize0d1Carring_competition_0d2"
27 0.2468245 "mins" "params_EndSize0d1Carring_competition_0d2"
28 0.1078923 "mins" "params_EndSize0d1Carring_competition_0d2"
29 0.09436537 "mins" "params_EndSize0d1Carring_competition_0d2"
30 0.1468208 "mins" "params_EndSize0d1Carring_competition_0d2"
31 0.1239294 "mins" "params_EndSize0d1Carring_competition_0d2"
32 0.1607538 "mins" "params_EndSize0d1Carring_competition_0d2"
33 0.09054296 "mins" "params_EndSize0d1Carring_competition_0d2"
34 0.1581512 "mins" "params_EndSize0d1Carring_competition_0d2"
35 0.1216491 "mins" "params_EndSize0d1Carring_competition_0d2"
36 0.113196 "mins" "params_EndSize0d1Carring_competition_0d2"
37 0.2469514 "mins" "params_EndSize0d1Carring_competition_0d2"
38 0.2111913 "mins" "params_EndSize0d1Carring_competition_0d2"
39 0.2136521 "mins" "params_EndSize0d1Carring_competition_0d2"
40 0.1201651 "mins" "params_EndSize0d1Carring_competition_0d2"
41 0.08939906 "mins" "params_EndSize0d1Carring_competition_0d2"
42 0.1234424 "mins" "params_EndSize0d1Carring_competition_0d2"
43 0.144052 "mins" "params_EndSize0d1Carring_competition_0d2"
44 0.1135145 "mins" "params_EndSize0d1Carring_competition_0d2"
45 0.09871618 "mins" "params_EndSize0d1Carring_competition_0d2"
46 0.0999064 "mins" "params_EndSize0d1Carring_competition_0d2"
47 0.300715 "mins" "params_EndSize0d1Carring_competition_0d2"
48 0.17061 "mins" "params_EndSize0d1Carring_competition_0d2"
